PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesContract (0.2s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/list_dev_app_permissions/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/list_dev_app_versions/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_auth_config_save/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_credential_bind/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_credential_debug/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_credential_delete/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_credential_save/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_credential_unbind/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_member_add/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_member_remove/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_service_create/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_service_delete/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_service_update/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_create_hsf/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_create_http/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_debug/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_delete/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_publish/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_update_hsf/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/mcp_tool_update_http/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/publish_dev_app_version/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/query_robot_create_result/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/remove_dev_app_members/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/remove_dev_app_permissions/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/set_extension_robot_config/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/set_extension_webapp_config/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/submit_robot_create_task/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/subscribe_dev_app_events/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/unsubscribe_dev_app_events/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/update_dev_app/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/update_dev_app_security_config/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dev/version_check_approval/0 (0.04s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/connect/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/connect_unbind/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/create_digital_employee/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/create_mcp/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/create_skill_from_file/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/delete_digital_employee/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/delete_mcp/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/delete_skill/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/get_digital_employee_detail/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/get_digital_employee_detail/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/get_mcp_detail/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/get_skill_detail/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/list_digital_employees/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/list_mcps/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/list_skills/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/login/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/publish_digital_employee/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/query_de_run_status/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/query_de_run_status/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/query_de_trace/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/set_visibility/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/set_visibility/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/update_digital_employee_draft/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/update_mcp/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/dingtalk-tag/update_skill/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/download_file/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/import_get/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/media_insert/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/media_upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/query_export_job/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_create_with_media/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_download_overwrite/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_media_insert/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_media_insert/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_media_upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_resource_update/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_resource_update/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_script/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/shortcut_script/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/upload/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/doc/whiteboard_insert/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/create_comment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/create_file_comment/0 (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/download_file/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/download_file/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/list_comments/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/list_comments/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/list_file_comments/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/list_file_comments/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/drive/upload/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/event/stop/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/html/create/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/html/fetch/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/html/overwrite/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/html/patch/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/mail/batch_get_users_by_org_emails/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/mail/export_message_mime/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/mail/get_user_by_org_email/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/mail/share_message_to_chat/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/markdown/create/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/markdown/diff/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/markdown/fetch/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/markdown/overwrite/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/markdown/patch/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/mcp/published_invoke/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_apply_permission/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_apply_permission/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_mindmap/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_mindmap/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_prepare_asr/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_record_wrap_up/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_record_wrap_up/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_replace_batch/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_replace_batch/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_share/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_share/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_speaker_insights/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_speaker_insights/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_speaker_replace/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_summary/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_sync_asr/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_unshare/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_unshare/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_update/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_upload/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_upload_and_analyze/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_upload_and_analyze/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/minutes/shortcut_upload_and_notify/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/oa/attachment_upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/pat/shortcut_browser_policy/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/recruit/create_job/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/recruit/get_job_detail/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/recruit/list_jobs/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/create_float_image/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/create_with_data/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/create_with_data/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/export_csv/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/export_csv/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/filter_view_get_criteria/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/filter_view_info/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/filter_view_list_criteria/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/get_sheet_changeset/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/get_sheet_revision/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/media_upload/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/shortcut_read/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/submit_export_job/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/update_float_image/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/sheet/write_image/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/add_todo_attachment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/add_todo_attachment/1 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_comment/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_complete/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_create/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_remind/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_reminder/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_reopen/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/todo/shortcut_update/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/apply_personal_whiteboard_tpl/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/apply_public_whiteboard_tpl/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/apply_team_whiteboard_tpl/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/export_whiteboard/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/query_export_job/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/save_personal_whiteboard_tpl/0 (0.02s)
